[ 2026-08-07 00:22:18,312 ] 20 root - INFO - Initiate the data ingestion
[ 2026-08-07 00:22:21,715 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-08-07 00:22:21,715 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-08-07 00:22:21,716 ] 75 root - INFO - Exporting train and test file path.
[ 2026-08-07 00:22:21,898 ] 84 root - INFO - Exported train and test file path.
[ 2026-08-07 00:22:21,899 ] 22 root - INFO - Data Initiation Completed
[ 2026-08-07 00:22:21,913 ] 26 root - INFO - Initiate the data Validation
[ 2026-08-07 00:22:22,075 ] 32 root - INFO - Required number of columns:2
[ 2026-08-07 00:22:22,075 ] 33 root - INFO - Data frame has columns:31
[ 2026-08-07 00:22:22,078 ] 32 root - INFO - Required number of columns:2
[ 2026-08-07 00:22:22,078 ] 33 root - INFO - Data frame has columns:31
[ 2026-08-07 00:22:22,646 ] 28 root - INFO - data Validation Completed
[ 2026-08-07 00:22:22,646 ] 31 root - INFO - data Transformation started
[ 2026-08-07 00:22:22,646 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-08-07 00:22:22,648 ] 65 root - INFO - Starting data transformation
[ 2026-08-07 00:22:22,722 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-08-07 00:22:22,723 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-08-07 00:22:22,749 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-08-07 00:22:22,755 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-08-07 00:22:22,755 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-08-07 00:22:22,762 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-08-07 00:22:22,764 ] 35 root - INFO - data Transformation completed
[ 2026-08-07 00:22:22,764 ] 37 root - INFO - Model Training sstared
